Metric,CS1_FLAT_50EVs_15km_SOCmin40%,CS1_FLAT_50EVs_15km_SOCmin60%,CS1_FLAT_50EVs_15km_SOCmin80%,CS1_FLAT_50EVs_25km_SOCmin40%,CS1_FLAT_50EVs_25km_SOCmin60%,CS1_FLAT_50EVs_25km_SOCmin80%,CS1_FLAT_50EVs_35km_SOCmin40%,CS1_FLAT_50EVs_35km_SOCmin60%,CS1_FLAT_50EVs_35km_SOCmin80%,CS1_FLAT_100EVs_15km_SOCmin40%,CS1_FLAT_100EVs_15km_SOCmin60%,CS1_FLAT_100EVs_15km_SOCmin80%,CS1_FLAT_100EVs_25km_SOCmin40%,CS1_FLAT_100EVs_25km_SOCmin60%,CS1_FLAT_100EVs_25km_SOCmin80%,CS1_FLAT_100EVs_35km_SOCmin40%,CS1_FLAT_100EVs_35km_SOCmin60%,CS1_FLAT_100EVs_35km_SOCmin80%,CS1_TOU_50EVs_15km_SOCmin40%,CS1_TOU_50EVs_15km_SOCmin60%,CS1_TOU_50EVs_15km_SOCmin80%,CS1_TOU_50EVs_25km_SOCmin40%,CS1_TOU_50EVs_25km_SOCmin60%,CS1_TOU_50EVs_25km_SOCmin80%,CS1_TOU_50EVs_35km_SOCmin40%,CS1_TOU_50EVs_35km_SOCmin60%,CS1_TOU_50EVs_35km_SOCmin80%,CS1_TOU_100EVs_15km_SOCmin40%,CS1_TOU_100EVs_15km_SOCmin60%,CS1_TOU_100EVs_15km_SOCmin80%,CS1_TOU_100EVs_25km_SOCmin40%,CS1_TOU_100EVs_25km_SOCmin60%,CS1_TOU_100EVs_25km_SOCmin80%,CS1_TOU_100EVs_35km_SOCmin40%,CS1_TOU_100EVs_35km_SOCmin60%,CS1_TOU_100EVs_35km_SOCmin80%,US1_FLAT_50EVs_15km_SOCmin40%,US1_FLAT_50EVs_15km_SOCmin60%,US1_FLAT_50EVs_15km_SOCmin80%,US1_FLAT_50EVs_25km_SOCmin40%,US1_FLAT_50EVs_25km_SOCmin60%,US1_FLAT_50EVs_25km_SOCmin80%,US1_FLAT_50EVs_35km_SOCmin40%,US1_FLAT_50EVs_35km_SOCmin60%,US1_FLAT_50EVs_35km_SOCmin80%,US1_FLAT_100EVs_15km_SOCmin40%,US1_FLAT_100EVs_15km_SOCmin60%,US1_FLAT_100EVs_15km_SOCmin80%,US1_FLAT_100EVs_25km_SOCmin40%,US1_FLAT_100EVs_25km_SOCmin60%,US1_FLAT_100EVs_25km_SOCmin80%,US1_FLAT_100EVs_35km_SOCmin40%,US1_FLAT_100EVs_35km_SOCmin60%,US1_FLAT_100EVs_35km_SOCmin80%,US1_TOU_50EVs_15km_SOCmin40%,US1_TOU_50EVs_15km_SOCmin60%,US1_TOU_50EVs_15km_SOCmin80%,US1_TOU_50EVs_25km_SOCmin40%,US1_TOU_50EVs_25km_SOCmin60%,US1_TOU_50EVs_25km_SOCmin80%,US1_TOU_50EVs_35km_SOCmin40%,US1_TOU_50EVs_35km_SOCmin60%,US1_TOU_50EVs_35km_SOCmin80%,US1_TOU_100EVs_15km_SOCmin40%,US1_TOU_100EVs_15km_SOCmin60%,US1_TOU_100EVs_15km_SOCmin80%,US1_TOU_100EVs_25km_SOCmin40%,US1_TOU_100EVs_25km_SOCmin60%,US1_TOU_100EVs_25km_SOCmin80%,US1_TOU_100EVs_35km_SOCmin40%,US1_TOU_100EVs_35km_SOCmin60%,US1_TOU_100EVs_35km_SOCmin80%
Tariff type,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,flat,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou,tou
Number of EVs,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100
Average travel distance (km),15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km,15 km,15 km,15 km,25 km,25 km,25 km,35 km,35 km,35 km
Minimum SOC (%),40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%,40%,60%,80%
Number of households,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Number of CPs,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100,50,50,50,50,50,50,50,50,50,100,100,100,100,100,100,100,100,100
Max charging power (kW),1.30 kW,2.40 kW,3.70 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,1.30 kW,2.40 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,2.40 kW,2.40 kW,3.70 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,1.30 kW,2.40 kW,3.70 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,1.30 kW,2.40 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,2.40 kW,2.40 kW,3.70 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,2.40 kW,2.40 kW,7.20 kW,3.70 kW,3.70 kW,7.20 kW
Total cost ($),"$30,544.63","$30,570.66","$88,196.79","$30,849.63","$30,863.19","$95,965.39","$88,655.22","$88,660.99","$96,239.12","$41,449.08","$41,501.48","$171,753.02","$42,063.77","$42,091.36","$172,295.05","$157,679.48","$157,691.82","$172,848.60","$29,413.82","$29,424.74","$86,967.86","$29,508.83","$29,516.94","$94,555.14","$87,095.83","$87,102.83","$94,656.69","$39,932.91","$39,955.40","$170,033.92","$40,125.79","$40,140.12","$170,208.57","$155,296.99","$155,309.62","$170,399.33","$30,824.34","$30,833.87","$88,336.13","$31,127.29","$31,127.29","$96,140.39","$88,931.21","$88,931.21","$96,442.49","$42,021.60","$42,039.79","$172,045.29","$42,636.13","$42,636.13","$172,656.53","$158,250.08","$158,250.08","$173,267.83","$30,359.04","$30,359.04","$87,780.70","$30,973.98","$30,973.98","$95,829.79","$89,032.85","$89,032.85","$96,432.03","$41,795.21","$41,795.21","$171,542.45","$43,023.35","$43,023.35","$172,656.61","$159,086.90","$159,086.90","$173,834.08"
Investment & maintenance cost ($),"$10,383.56","$10,383.56","$67,883.56","$10,383.56","$10,383.56","$75,383.56","$67,883.56","$67,883.56","$75,383.56","$20,767.12","$20,767.12","$150,767.12","$20,767.12","$20,767.12","$150,767.12","$135,767.12","$135,767.12","$150,767.12","$10,383.56","$10,383.56","$67,883.56","$10,383.56","$10,383.56","$75,383.56","$67,883.56","$67,883.56","$75,383.56","$20,767.12","$20,767.12","$150,767.12","$20,767.12","$20,767.12","$150,767.12","$135,767.12","$135,767.12","$150,767.12","$10,383.56","$10,383.56","$67,883.56","$10,383.56","$10,383.56","$75,383.56","$67,883.56","$67,883.56","$75,383.56","$20,767.12","$20,767.12","$150,767.12","$20,767.12","$20,767.12","$150,767.12","$135,767.12","$135,767.12","$150,767.12","$10,383.56","$10,383.56","$67,883.56","$10,383.56","$10,383.56","$75,383.56","$67,883.56","$67,883.56","$75,383.56","$20,767.12","$20,767.12","$150,767.12","$20,767.12","$20,767.12","$150,767.12","$135,767.12","$135,767.12","$150,767.12"
Total household load cost ($),"$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$19,669.42","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20","$18,898.20"
Total EV charging cost ($),$489.02,$515.01,$640.95,$793.88,$807.38,$909.33,"$1,099.30","$1,105.00","$1,182.78","$1,009.70","$1,062.01","$1,313.18","$1,624.11","$1,651.59","$1,854.78","$2,239.49","$2,251.70","$2,407.81",$128.35,$139.23,$182.13,$222.86,$231.00,$268.63,$309.18,$316.24,$369.56,$262.79,$285.27,$363.01,$454.68,$469.05,$536.40,$624.54,$637.27,$725.90,$770.49,$780.02,$782.29,"$1,073.44","$1,073.44","$1,086.55","$1,377.37","$1,377.37","$1,388.64","$1,584.19","$1,602.38","$1,607.89","$2,198.72","$2,198.72","$2,219.13","$2,812.68","$2,812.68","$2,830.42","$1,076.18","$1,076.18",$997.84,"$1,691.12","$1,691.12","$1,546.92","$2,249.98","$2,249.98","$2,149.17","$2,128.78","$2,128.78","$1,876.02","$3,356.92","$3,356.92","$2,990.18","$4,420.47","$4,420.47","$4,167.66"
Grid import cost ($),"$20,158.45","$20,184.43","$20,310.37","$20,463.30","$20,476.81","$20,578.75","$20,768.72","$20,774.42","$20,852.21","$20,679.12","$20,731.44","$20,982.60","$21,293.53","$21,321.02","$21,524.20","$21,908.91","$21,921.12","$22,077.23","$19,026.55","$19,037.44","$19,080.34","$19,121.06","$19,129.20","$19,166.84","$19,207.38","$19,214.44","$19,267.76","$19,161.00","$19,183.47","$19,261.21","$19,352.89","$19,367.25","$19,434.60","$19,522.75","$19,535.48","$19,624.11","$20,439.92","$20,449.45","$20,451.71","$20,742.86","$20,742.86","$20,755.97","$21,046.79","$21,046.79","$21,058.06","$21,253.61","$21,271.80","$21,277.31","$21,868.14","$21,868.14","$21,888.55","$22,482.10","$22,482.10","$22,499.84","$19,974.38","$19,974.38","$19,896.04","$20,589.32","$20,589.32","$20,445.13","$21,148.18","$21,148.18","$21,047.37","$21,026.98","$21,026.98","$20,774.22","$22,255.13","$22,255.13","$21,888.38","$23,318.67","$23,318.67","$23,065.86"
Other costs ($),$2.62,$2.67,$2.85,$2.77,$2.82,$3.08,$2.94,$3.01,$3.35,$2.83,$2.92,$3.29,$3.12,$3.22,$3.73,$3.45,$3.58,$4.25,$3.71,$3.74,$3.96,$4.21,$4.18,$4.74,$4.89,$4.83,$5.37,$4.80,$4.80,$5.58,$5.78,$5.74,$6.84,$7.12,$7.02,$8.10,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$0.86,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10,$1.10
Average EV charging cost ($),$9.78,$10.30,$12.82,$15.88,$16.15,$18.19,$21.99,$22.10,$23.66,$10.10,$10.62,$13.13,$16.24,$16.52,$18.55,$22.39,$22.52,$24.08,$2.57,$2.78,$3.64,$4.46,$4.62,$5.37,$6.18,$6.32,$7.39,$2.63,$2.85,$3.63,$4.55,$4.69,$5.36,$6.25,$6.37,$7.26,$15.41,$15.60,$15.65,$21.47,$21.47,$21.73,$27.55,$27.55,$27.77,$15.84,$16.02,$16.08,$21.99,$21.99,$22.19,$28.13,$28.13,$28.30,$21.52,$21.52,$19.96,$33.82,$33.82,$30.94,$45.00,$45.00,$42.98,$21.29,$21.29,$18.76,$33.57,$33.57,$29.90,$44.20,$44.20,$41.68
Total EV load (kW),"1,293.72 kW","1,362.45 kW","1,695.64 kW","2,100.20 kW","2,135.94 kW","2,405.63 kW","2,908.20 kW","2,923.27 kW","3,129.06 kW","2,671.17 kW","2,809.56 kW","3,474.03 kW","4,296.58 kW","4,369.30 kW","4,906.82 kW","5,924.57 kW","5,956.87 kW","6,369.86 kW","1,293.72 kW","1,362.45 kW","1,695.64 kW","2,100.20 kW","2,135.94 kW","2,405.63 kW","2,908.20 kW","2,923.27 kW","3,129.06 kW","2,671.17 kW","2,809.56 kW","3,474.03 kW","4,296.58 kW","4,369.30 kW","4,906.82 kW","5,924.57 kW","5,956.87 kW","6,369.86 kW","2,038.34 kW","2,063.55 kW","2,069.54 kW","2,839.79 kW","2,839.79 kW","2,874.47 kW","3,643.83 kW","3,643.83 kW","3,673.66 kW","4,190.98 kW","4,239.10 kW","4,253.67 kW","5,816.73 kW","5,816.73 kW","5,870.71 kW","7,440.94 kW","7,440.94 kW","7,487.89 kW","2,063.55 kW","2,063.55 kW","2,069.54 kW","2,839.79 kW","2,839.79 kW","2,874.47 kW","3,643.83 kW","3,643.83 kW","3,673.66 kW","4,239.10 kW","4,239.10 kW","4,253.67 kW","5,816.73 kW","5,816.73 kW","5,870.71 kW","7,440.94 kW","7,440.94 kW","7,487.89 kW"
Peak EV load (kW),4.79 kW,4.88 kW,19.18 kW,8.54 kW,6.91 kW,19.30 kW,12.27 kW,9.63 kW,19.24 kW,8.64 kW,10.13 kW,38.29 kW,17.06 kW,13.81 kW,38.44 kW,25.53 kW,20.32 kW,38.42 kW,13.52 kW,12.36 kW,28.68 kW,15.49 kW,13.63 kW,29.88 kW,22.73 kW,21.49 kW,30.10 kW,26.19 kW,23.09 kW,58.84 kW,28.59 kW,29.15 kW,59.59 kW,42.89 kW,38.56 kW,58.81 kW,16.25 kW,30.00 kW,46.25 kW,30.00 kW,30.00 kW,90.00 kW,46.25 kW,46.25 kW,90.00 kW,32.50 kW,60.00 kW,180.00 kW,60.00 kW,60.00 kW,180.00 kW,92.50 kW,92.50 kW,180.00 kW,30.00 kW,30.00 kW,46.25 kW,30.00 kW,30.00 kW,90.00 kW,46.25 kW,46.25 kW,90.00 kW,60.00 kW,60.00 kW,180.00 kW,60.00 kW,60.00 kW,180.00 kW,92.50 kW,92.50 kW,180.00 kW
Peak total demand (kW),157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.18 kW,157.04 kW,157.04 kW,157.32 kW,163.04 kW,162.47 kW,158.99 kW,166.64 kW,164.24 kW,158.88 kW,169.60 kW,167.21 kW,162.25 kW,168.49 kW,165.59 kW,162.48 kW,175.04 kW,170.82 kW,168.40 kW,182.06 kW,175.54 kW,174.85 kW,159.31 kW,160.54 kW,161.16 kW,161.24 kW,161.24 kW,163.74 kW,163.51 kW,163.51 kW,165.16 kW,162.24 kW,163.75 kW,220.30 kW,166.64 kW,166.64 kW,220.30 kW,171.84 kW,171.84 kW,220.30 kW,160.54 kW,160.54 kW,161.16 kW,161.24 kW,161.24 kW,163.74 kW,163.51 kW,163.51 kW,165.16 kW,163.75 kW,163.75 kW,220.30 kW,166.64 kW,166.64 kW,220.30 kW,171.84 kW,171.84 kW,220.30 kW
Peak grid import (kW),157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.04 kW,157.18 kW,157.04 kW,157.04 kW,157.32 kW,163.04 kW,162.47 kW,158.99 kW,166.64 kW,164.24 kW,158.88 kW,169.60 kW,167.21 kW,162.25 kW,168.49 kW,165.59 kW,162.48 kW,175.04 kW,170.82 kW,168.40 kW,182.06 kW,175.54 kW,174.85 kW,159.31 kW,160.54 kW,161.16 kW,161.24 kW,161.24 kW,163.74 kW,163.51 kW,163.51 kW,165.16 kW,162.24 kW,163.75 kW,220.30 kW,166.64 kW,166.64 kW,220.30 kW,171.84 kW,171.84 kW,220.30 kW,160.54 kW,160.54 kW,161.16 kW,161.24 kW,161.24 kW,163.74 kW,163.51 kW,163.51 kW,165.16 kW,163.75 kW,163.75 kW,220.30 kW,166.64 kW,166.64 kW,220.30 kW,171.84 kW,171.84 kW,220.30 kW
Average daily peak (kW),137.26 kW,137.16 kW,137.17 kW,137.52 kW,137.40 kW,137.43 kW,137.79 kW,137.63 kW,137.70 kW,138.08 kW,137.91 kW,137.98 kW,138.62 kW,138.42 kW,138.59 kW,139.14 kW,138.98 kW,139.57 kW,141.03 kW,140.89 kW,140.70 kW,141.99 kW,141.58 kW,142.30 kW,144.61 kW,144.04 kW,143.66 kW,146.11 kW,145.37 kW,145.27 kW,147.88 kW,147.16 kW,148.49 kW,153.41 kW,151.61 kW,151.21 kW,137.65 kW,137.76 kW,138.20 kW,138.02 kW,138.02 kW,139.91 kW,139.66 kW,139.66 kW,142.20 kW,139.11 kW,139.51 kW,151.43 kW,142.67 kW,142.67 kW,155.54 kW,149.01 kW,149.01 kW,162.43 kW,137.76 kW,137.76 kW,138.20 kW,138.02 kW,138.02 kW,139.91 kW,139.66 kW,139.66 kW,142.20 kW,139.51 kW,139.51 kW,151.43 kW,142.67 kW,142.67 kW,155.54 kW,149.01 kW,149.01 kW,162.43 kW
Peak-to-average power ratio (PAPR),1.98,1.98,1.96,1.95,1.95,1.94,1.92,1.92,1.91,1.93,1.92,1.90,1.87,1.87,1.85,1.82,1.82,1.81,2.05,2.04,1.99,2.07,2.04,1.96,2.07,2.04,1.98,2.07,2.03,1.97,2.09,2.04,1.99,2.11,2.03,2.01,1.98,1.99,2.00,1.97,1.97,2.00,1.97,1.97,1.99,1.94,1.96,2.63,1.94,1.94,2.56,1.94,1.94,2.49,1.99,1.99,2.00,1.97,1.97,2.00,1.97,1.97,1.99,1.96,1.96,2.63,1.94,1.94,2.56,1.94,1.94,2.49
